deparment,code,discription,rate
DEPARTMENT OF MEDICAL ONCOLOG,1121    ,TRANSPLANT PROCEDURE ONLY (CONSUMABLES EXTRA)     ,75000              
DEPARTMENT OF MEDICAL ONCOLOG,1122    ,INTRAPLURAL AND INTRAPERITONEAL CHEMOTHERAPY         300         ,     
DEPARTMENT OF MEDICAL ONCOLOG,1123    ,EMERGENCY CONSULTATION                              ,300              
DEPARTMENT OF MEDICAL ONCOLOG,1124    ,ROUTINE CONSULTATION                                ,200              
DEPARTMENT OF MEDICAL ONCOLOG,INTR    ,INTRA-A                                            ,1353              
DEPARTMENT OF NEUROLOG,CODE    ,DESCRIPTION                                        ,RATE              
DEPARTMENT OF NEUROLOG,250A   , E.E.G.                                              ,300              
DEPARTMENT OF NEUROLOG,250B    ,E.E.G. (WITH ACTIVATION PROCEDURES)                 ,500              
DEPARTMENT OF NEUROLOG,250C    ,E.E.G. (DIGITAL)                                   ,1000              
DEPARTMENT OF NEUROLOG,251A    ,LATE RESPONSE                                       ,600              
DEPARTMENT OF NEUROLOG,252A    ,EMNG (MINOR)                                        ,750              
DEPARTMENT OF NEUROLOG,252B    ,EMNG (MAJOR)                                       ,1000              
DEPARTMENT OF NEUROLOG,253A    ,VEP                     ,                            600              
DEPARTMENT OF NEUROLOG,254A    ,SEP (ONE NERVE)                                     ,700              
DEPARTMENT OF NEUROLOG,254B    ,SEP (TWO NERVES/DERMATONAL/PARASPINAL)             ,1000              
DEPARTMENT OF NEUROLOG,255A    ,BAEP                                 ,               750              
DEPARTMENT OF NEUROLOG,255B    ,BAEP (HEARING THRESHOLDS)                          ,1500              
DEPARTMENT OF NEUROLOG,256A    ,SINGLE FIBRE EMG                                   ,1500              
DEPARTMENT OF NEUROLOG,257A    ,CENTRAL MOTOR CONDUCTION (UPPER OR LOWER LIMB     ,  800              
DEPARTMENT OF NEUROLOG,257B    ,CENTRAL MOTOR CONDUCTION(BOTH UPPER OR LOWER       ,1200              
DEPARTMENT OF NEUROLOG,258A    ,QUANTITATIVE EMG                                   ,1500              
DEPARTMENT OF NEUROLOG,259A    ,DECREMENT RESPONSE                                   750       ,       
DEPARTMENT OF NEUROLOG,260A    ,BLINK REFLEX                                        ,700              
DEPARTMENT OF NEUROLOG,261A    ,CAROTID DOPPLER                                     ,500              
DEPARTMENT OF NEUROLOG,262A    ,BLOOD SUGAR (GLUCOMETER)                             ,70              
DEPARTMENT OF NEUROLOG,263A,    AUTONOMIC FUNCTION TEST                             ,800              
DEPARTMENT OF NEUROLOG,264A    ,ELECTROPHYSIOLOGICAL EVALUATION OF MYOCLONIC       ,1500              
DEPARTMENT OF NEUROLOG,265A    ,RESPIRATORY THERAPY                                 ,300              
DEPARTMENT OF NEUROLOG,266A    ,LUMBAR PUNCTURE                                     ,400              
DEPARTMENT OF NEUROLOG,267A    ,VENTILATORY CHARGES                                 ,800              
DEPARTMENT OF NEUROLOG,268A    ,PROLONGED VIDEO EEG RECORDING (3 HOURS)            ,3000              
DEPARTMENT OF NEUROLOG,268B    ,PROLONGED VIDEO EEG RECORDING (6 HOURS) OR MO      ,6000              
DEPARTMENT OF NEUROLOG,269A    ,INTRA OPERATIVE EPS                                ,6000              
DEPARTMENT OF NEUROLOG,270A    ,SPEECH THERAPY (UPTO 2 VISITS)                      ,300              
DEPARTMENT OF NEUROLOG,270B    ,SPEECH THERAPY (UPTO 6 VISITS)    ,                  900              
DEPARTMENT OF NEUROLOG,270C    ,SPEECH THERAPY (UPTO A MONTH)                      ,1500              
DEPARTMENT OF NEUROLOG,270D    ,SPEECH THERAPY FOLLOW UP                            ,300              
DEPARTMENT OF NEUROLOG,271A    ,PSYCHOMETRY (SCREENING TESTS)                  ,     450              
DEPARTMENT OF NEUROLOG,271B    ,PSYCHOMETRY (COMPLICATED TESTS)                    ,1000              
DEPARTMENT OF NEUROLOG,272A    ,SLEEP STUDY (OVER NIGHT)                           ,4000              
DEPARTMENT OF NEUROLOG,272B    ,SLEEP STUDY (OVER NIGHT + MSLT)                     2000    ,          
DEPARTMENT OF NEUROLOG,273A    ,PRE OPERATIVE EVALUATION OF EPILEPTIC FOCUS       ,35000              
DEPARTMENT OF NEUROLOG,274A    ,FOCAL NEUROPARALYTIC THERAPY(INJ.BOTULINUM TO     ,15000              
DEPARTMENT OF NEUROLOG,275A    ,PROLONGED DIGITAL EEG (3 HOURS)                    ,3000              
DEPARTMENT OF NEUROLOG,275B    ,PROLONGED DIGITAL EEG (6 HOURS)                    ,6000              
DEPARTMENT OF NEUROLOG,276A    ,I.Q                                                 ,300              
DEPARTMENT OF NEUROLOG,276B    ,LOBE FUNCTIONS                                      ,400              
DEPARTMENT OF NEUROLOG,277A    ,NEUROPSYCHOLOGICAL TESTS                            ,750              
DEPARTMENT OF NEUROLOG,277B    ,PSYCHOMETRY                                         ,400              
DEPARTMENT OF NEUROLOG,278A    ,4 CONTACT SUBDURAL STRIP                          ,20000              
DEPARTMENT OF NEUROLOG,278B    ,6 CONTACT SUBDURAL STRIP                          ,25000              
DEPARTMENT OF NEUROLOG,278C    ,8 CONTACT SUBDURAL STRIP                          ,30000              
DEPARTMENT OF NEUROLOG,278D    ,4 CONTACT DEPTH ELECTRODES                        ,12000              
DEPARTMENT OF NEUROLOG,278E    ,6 CONTACT DEPTH ELECTRODES     ,                   15000              
DEPARTMENT OF NEUROLOG,278F    ,8 CONTACT DEPTH ELECTRODES                        ,20000              
DEPARTMENT OF NEUROLOG,ICMR    ,ICMR CAROTID DOPPLER                                ,350              
DEPARTMENT OF NEUROLOG,LMT-A   ,ECG                                ,                  50              
DEPARTMENT OF NEUROLOG,LMT-C   ,ECHO                                                ,500              
DEPARTMENT OF NEUROLOG,LMT-D   ,CARBAMAZEPINE SERUM LEVELS                          ,200              
DEPARTMENT OF NEUROLOG,LMT-E   ,PHENOBARBITONE SERUM LEVELS                     ,    200              
DEPARTMENT OF NEUROLOG,LMT-F   ,PHENYTOIN SERUM LEVELS                              ,200              
DEPARTMENT OF NEUROLOG,LMT-N   ,E.E.G                                               ,175              
DEPARTMENT OF NEUROLOG,LMT-P   ,HB/PCV/TDC/CUE                                       140     ,         
DEPARTMENT OF NEUROLOG,LMT-R   ,CT BRAIN (PLAIN)                                   ,1200              
DEPARTMENT OF NEUROLOG,LMT-S   ,LFT/SB(T)/SGOT/SGPT/AP(T&P)/BU/SC/SE                ,760              
DEPARTMENT OF NUCLEAR MEDICIN,==============================
DEPARTMENT OF NUCLEAR MEDICIN,CODE    ,DESCRIPTION                                        ,RATE              
DEPARTMENT OF NUCLEAR MEDICIN,901A    ,THYROID RIA T3                ,                      150              
DEPARTMENT OF NUCLEAR MEDICIN,901N    ,THYROID RIA T3                                      ,150              
DEPARTMENT OF NUCLEAR MEDICIN,902A    ,THYROID RIA T4                                      ,150              
DEPARTMENT OF NUCLEAR MEDICIN,902N    ,THYROID RIA T4                             ,         150              
DEPARTMENT OF NUCLEAR MEDICIN,903A    ,THYROID RIA TSH                                     ,200              
DEPARTMENT OF NUCLEAR MEDICIN,903N    ,THYROID RIA TSH                                     ,200              
DEPARTMENT OF NUCLEAR MEDICIN,904A    ,THYROID RIA T3, T4, TSH                              500,              
DEPARTMENT OF NUCLEAR MEDICIN,904N    ,THYROID RIA T3,T4 & TSH                             ,500              
DEPARTMENT OF NUCLEAR MEDICIN,905A    ,THYROID IODINE UPTAKE                               ,500              
DEPARTMENT OF NUCLEAR MEDICIN,905N    ,THYROID IODINE UPTAKE                                500             , 
DEPARTMENT OF NUCLEAR MEDICIN,906A    ,THYROID SCAN                                        ,600              
DEPARTMENT OF NUCLEAR MEDICIN,906N    ,THYROID CONSULTATION                                 ,50              
DEPARTMENT OF NUCLEAR MEDICIN,907A    ,LOW DOSE IODINE THERAPY                            ,1100              
DEPARTMENT OF NUCLEAR MEDICIN,907N    ,CR-51 RBC SURVIVAL                                 ,2500              
DEPARTMENT OF NUCLEAR MEDICIN,908A    ,HIGH DOSE IODINE THERAPY                           ,2500              
DEPARTMENT OF NUCLEAR MEDICIN,908N    ,CR-51 RBC VOLUME                                   ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,909A    ,THYROID CONSULTATION                               ,1100              
DEPARTMENT OF NUCLEAR MEDICIN,909N    ,THYROID SCAN                                        ,600              
DEPARTMENT OF NUCLEAR MEDICIN,910A    ,LIVER COLLOID SCAN                                 ,1100              
DEPARTMENT OF NUCLEAR MEDICIN,910N    ,WHOLE BODY IODINE-131 SCAN ,                        1500              
DEPARTMENT OF NUCLEAR MEDICIN,911A    ,STRONTIUM -89   THERAPY                           ,40000              
DEPARTMENT OF NUCLEAR MEDICIN,911N    ,LIVER COLLOID SCAN                                 ,1100              
DEPARTMENT OF NUCLEAR MEDICIN,912A    ,LIVER HEPATO BILIARY (MEBROFENIN)       ,           1100              
DEPARTMENT OF NUCLEAR MEDICIN,912N    ,LIVER HEPATO BILIARY(MEBROFENIN)                   ,1100              
DEPARTMENT OF NUCLEAR MEDICIN,913A    ,OESOPHAGUS TRANSIT SCAN (ROTS)                      ,600              
DEPARTMENT OF NUCLEAR MEDICIN,913N    ,DENATURED RBC SPLENIC SCINTIGRAPHY                 ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,914A    ,ABDOMEN BLOOD POOL SCAN (GI BLEED, HEMANGIOMA      ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,914N    ,OESOPHAGEAL TRANSIT STUDY                           ,600              
DEPARTMENT OF NUCLEAR MEDICIN,915A    ,ABDOMEN PERTECH SCAN (MECKEL'S)                      600          ,    
DEPARTMENT OF NUCLEAR MEDICIN,915N    ,ABDOMEN BLOOD POOL SCAN(GI BLEED,HEMANGIOM)        ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,916A    ,GASTRIC EMPTYING LIQUID                             ,800              
DEPARTMENT OF NUCLEAR MEDICIN,916N    ,ABDOMEN PERTECH SCAN - MECKEL S                     ,600              
DEPARTMENT OF NUCLEAR MEDICIN,917A   , STANDARD RENOGRAM                                  ,1000              
DEPARTMENT OF NUCLEAR MEDICIN,917N    ,GASTRIC EMPTYING LIQUID                             ,800              
DEPARTMENT OF NUCLEAR MEDICIN,918A    ,RENOGRAM                                           ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,918N    ,GASTRO OESOPHAGEAL REFLUX                           ,800              
DEPARTMENT OF NUCLEAR MEDICIN,919A    ,RADIONUCLIDE CYSTOGRAPHY                            ,800              
DEPARTMENT OF NUCLEAR MEDICIN,919N    ,DUODENOGASTRIC REFLUX                              ,1000              
DEPARTMENT OF NUCLEAR MEDICIN,920A    ,BONE SCAN               ,                           1200              
DEPARTMENT OF NUCLEAR MEDICIN,920N    ,STANDARD RENOGRAM                                  ,1000              
DEPARTMENT OF NUCLEAR MEDICIN,921A    ,RADIONUCLIDE GFR                                    ,600              
DEPARTMENT OF NUCLEAR MEDICIN,921N    ,CAPTOPRIL RENOGRAM                   ,              1500              
DEPARTMENT OF NUCLEAR MEDICIN,922A    ,MUGA RNV SCAN                                      ,1000              
DEPARTMENT OF NUCLEAR MEDICIN,922N    ,LOSARTIN RENOGRAM                                  ,2000              
DEPARTMENT OF NUCLEAR MEDICIN,923A    ,STRESS EX.MUGA                                    , 1500              
DEPARTMENT OF NUCLEAR MEDICIN,923N    ,RADIONUCLIDE CYSTOGRAPHY                            ,800              
DEPARTMENT OF NUCLEAR MEDICIN,924A    ,CARDIAC FIRST PASS                                 ,1000              
DEPARTMENT OF NUCLEAR MEDICIN,924N    ,RADIONUCLIDE GFR                                     600       ,       
DEPARTMENT OF NUCLEAR MEDICIN,925A    ,ISOTOPE VENOGRAM                                   ,1000              
DEPARTMENT OF NUCLEAR MEDICIN,925N    ,DMSA RENAL SCINTIGRAPHY                            ,1000              
DEPARTMENT OF NUCLEAR MEDICIN,926A    ,LUNG PERFUSION SCAN                                ,1000              
DEPARTMENT OF NUCLEAR MEDICIN,926N,    RADIONUCLIDE PHALLOGRAM                            ,1000              
DEPARTMENT OF NUCLEAR MEDICIN,927A    ,LUNG VENTILATION SCAN                              ,1000              
DEPARTMENT OF NUCLEAR MEDICIN,927N    ,TESTICULAR IMAGING                                  ,500              
DEPARTMENT OF NUCLEAR MEDICIN,28A    ,RADIONUCLIDE BRAIN SCAN                           ,10000              
DEPARTMENT OF NUCLEAR MEDICIN,928N    ,MUGA RNV SCAN                                      ,1000              
DEPARTMENT OF NUCLEAR MEDICIN,929A    ,Cr-51 RBC Survival                                 ,2500              
DEPARTMENT OF NUCLEAR MEDICIN,929N    ,STRESS EX.MUGA      ,                               1500              
DEPARTMENT OF NUCLEAR MEDICIN,930A    ,THALLIUM ISOTOPE CHARGES                           ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,930N    ,CARDIAC FIRST PASS                                 ,1000              
DEPARTMENT OF NUCLEAR MEDICIN,931A    ,MYOCARDIAL PERFUSION SCAN SPECT  ,                   600              
DEPARTMENT OF NUCLEAR MEDICIN,931N    ,TL-201 MYOCARDIAL SPECT SCINTIGRAPHY               ,6000              
DEPARTMENT OF NUCLEAR MEDICIN,932A    ,PARATHYROID SCAN DERV.CHARGES                      ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,932N    ,TETROFOSMIN/MIBI MYOCARDIAL SPECT             ,     4000              
DEPARTMENT OF NUCLEAR MEDICIN,933A    ,ADRENAL MIBG SCINTIGRAPHY                          ,3000              
DEPARTMENT OF NUCLEAR MEDICIN,933N    ,PHARMACOLOGICAL STRESS (ADENOSINE)                 ,2000              
DEPARTMENT OF NUCLEAR MEDICIN,934A    ,ADRENAL SCAN SERV. CHARGES                          1200   ,           
DEPARTMENT OF NUCLEAR MEDICIN,934N    ,RADIONUCLIDE VENOGRAM                              ,1000              
DEPARTMENT OF NUCLEAR MEDICIN,935A    ,ADRENAL SCAN ISOTOPE                               ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,935N    ,LUNG PERFUSION SCAN                                ,1200              
DEPARTMENT OF NUCLEAR MEDICIN,936A    ,GALLIUM SCAN SERV. CHARGES                         ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,936N    ,LUNG VENTILATION SCAN                              ,1000              
DEPARTMENT OF NUCLEAR MEDICIN,937A    ,GALLIUM SCAN ISOTOPE                               ,1000              
DEPARTMENT OF NUCLEAR MEDICIN,937N    ,LYMPHANGIOGRAM                                     ,1100              
DEPARTMENT OF NUCLEAR MEDICIN,938A    ,REGISTRATION FEE (DIRECT REFERENCE))                ,100              
DEPARTMENT OF NUCLEAR MEDICIN,938N    ,PARATHYROID SCINTIGRAPHY                           ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,939A    ,LYMPHANGIOGRAM   ,                                  1100              
DEPARTMENT OF NUCLEAR MEDICIN,939N    ,ADRENAL MIBG SCINTIGRAPHY                          ,6000              
DEPARTMENT OF NUCLEAR MEDICIN,940A    ,I-131 WHOLE BODY SCAN (LARGE DOSE)                 ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,940N    ,BONE SCAN                     ,                     1400              
DEPARTMENT OF NUCLEAR MEDICIN,941A    ,Cr-51 labelled inv RBC-red blood                   ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,941N    ,BONE SPECT SCINTIGRAPHY                            ,2000              
DEPARTMENT OF NUCLEAR MEDICIN,942A    ,Cr-51 Labelled RBC-Red Cell Study          ,        2500              
DEPARTMENT OF NUCLEAR MEDICIN,942N    ,BONE MARROW SCINTIGRAPHY                           ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,943A    ,Radionuclide Phallogram                            ,1000              
DEPARTMENT OF NUCLEAR MEDICIN,943N    ,ECD BRAIN SPECT                                     2000,              
DEPARTMENT OF NUCLEAR MEDICIN,944A    ,D.M.S.A. Scan                                      ,1000              
DEPARTMENT OF NUCLEAR MEDICIN,944N    ,HMPAO BRAIN SPECT                                  ,5000              
DEPARTMENT OF NUCLEAR MEDICIN,945A    ,RADIONUCLIDE PLATELET SCINTIGRAPHY                   500             , 
DEPARTMENT OF NUCLEAR MEDICIN,945N    ,RADIONUCLIDE CISTERNOGRAPHY                        ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,946A    ,RADIONUCLIDE LEUCOCYTE SCINTIGRAPHY                ,1000              
DEPARTMENT OF NUCLEAR MEDICIN,946N    ,CSF LEAK SCINTIGRAPHY                              ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,947A    ,GASTRO OESOPHAGEAL REFLUX                           ,800              
DEPARTMENT OF NUCLEAR MEDICIN,947N    ,CSF SHUNT SCINTIGRAPHY                             ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,948A    ,DUOVENOGASTRIC REFLUX                              ,1000              
DEPARTMENT OF NUCLEAR MEDICIN,948N    ,GALLIUM-67 SCINTIGRAPHY                            ,7000              
DEPARTMENT OF NUCLEAR MEDICIN,949A    ,G-I BLEAD STUDY                                    ,1200              
DEPARTMENT OF NUCLEAR MEDICIN,949N    ,IN-III PLATELET SCINTIGRAPHY                       ,8000              
DEPARTMENT OF NUCLEAR MEDICIN,950A    ,DENATURED RBC SPLINIC    SCINTIGRAPHY              ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,950B    ,BLOOD POOL SCINTIGRAPHY  (LIVER)                   ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,950C    ,COLLOID BONE MARROW SCAN                           ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,950D    ,TL-201 MYOCARDIAL SPECT  SCINTIGRAPHY   ,           6000              
DEPARTMENT OF NUCLEAR MEDICIN,950E    ,ADENSOSINE THALIUM SPECT                           ,7000              
DEPARTMENT OF NUCLEAR MEDICIN,950F    ,TETROFOSMIN/MIBI MYO CARDIAL SPECT                 ,3000              
DEPARTMENT OF NUCLEAR MEDICIN,950G    ,ADENOSINE MYO CARDIAL    SPECT                     ,4000              
DEPARTMENT OF NUCLEAR MEDICIN,950H    ,ECD BRAIN SPECT                                    ,2000              
DEPARTMENT OF NUCLEAR MEDICIN,950I    ,HMPAO BRAIN SPECT                                  ,5000              
DEPARTMENT OF NUCLEAR MEDICIN,950J    ,RADIO NUCLIDE CISTEROGRAPHY                         1500          ,    
DEPARTMENT OF NUCLEAR MEDICIN,950K    ,CSF LEAK SCINIGRAPHY                               ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,950L    ,CSF SHUNT SCINTIGRAPHY                             ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,950M    ,GALLIUM -67 SCINTIGRAPHY                           ,7000              
DEPARTMENT OF NUCLEAR MEDICIN,950O   , TC- 99M - LEUCOCYTE      SCINTIGRAPHY              ,5000              
DEPARTMENT OF NUCLEAR MEDICIN,950P    ,EMERGENCY SCAN SERVICE   CHARGES                    ,100              
DEPARTMENT OF NUCLEAR MEDICIN,950Q    ,TC-99MM LEUCOCYTE SCINTIGRAPHY                     ,5000              
DEPARTMENT OF NUCLEAR MEDICIN,950R    ,EMERGENCY SCAN SERVICE CHARGES                      ,200              
DEPARTMENT OF NUCLEAR MEDICIN,950S    ,PHOSPHORUS - 32 THERAPY                            ,2500              
DEPARTMENT OF NUCLEAR MEDICIN,950T    ,LOW DOSE IODINE THERAPY                            ,1500              
DEPARTMENT OF NUCLEAR MEDICIN,950U    ,STRONTIUM-89 THERAPY  ,                            40000              
DEPARTMENT OF NUCLEAR MEDICIN,950V    ,RADIATION SYNOVECTOMY                             ,10000              
DEPARTMENT OF NUCLEAR MEDICIN,950X    ,THYROID ABLATION DOSE                              ,4000              
DEPARTMENT OF NUCLEAR MEDICIN,950Y    ,ADDITIONAL RADIO PHARMACEUTICAL CHARGES             ,500              
DEPARTMENT OF NUCLEAR MEDICIN,950Z    ,ADDITIONAL RADIO PHARMACEUTICAL CHARGES            ,1000                              
DEPARTMENT OF NEPHOROLOG,951A    ,HAEMODIALYSIS  *                                   ,1500              
DEPARTMENT OF NEPHOROLOG,951B    ,HAEMODIALYSIS (HEPARIN FREE) *                     ,2000              
DEPARTMENT OF NEPHOROLOG,951C    ,HAEMODIALYSIS (BICARB)                   ,          1500              
DEPARTMENT OF NEPHOROLOG,951D     ,HAEMODIALYSIS                                     ,1000              
DEPARTMENT OF NEPHOROLOG,951E    ,HAEMODYALSIS (BEDSIDE)                             ,2500              
DEPARTMENT OF NEPHOROLOG,951F    ,HAEMODIALYSIS WITH LMWH                            ,1500              
DEPARTMENT OF NEPHOROLOG,951G    ,HAEMODIALYSIS WITH ERYTHROPOIETIN                  ,2000              
DEPARTMENT OF NEPHOROLOG,951H    ,HAEMODIALYSIS WITH LMWH+ERYTHROPOIETIN             ,2500              
DEPARTMENT OF NEPHOROLOG,951I    ,EMERGENCY HAEMODIALYSIS                             2000           ,   
DEPARTMENT OF NEPHOROLOG,951J    ,HAEMODIALYSIS WITH I.V.IRON                        ,1500              
DEPARTMENT OF NEPHOROLOG,951K    ,HEMODIALYSIS WITH ERYTHROPOIETIN 2000UTS+I.V       ,2500              
DEPARTMENT OF NEPHOROLOG,951L    ,HAEMODIALYSIS NON-REUSE                            ,2000              
DEPARTMENT OF NEPHOROLOG,951M    ,HEMODIALYSIS WITH ERYTHROPOIETIN 3000UTS+I.V       ,3000              
DEPARTMENT OF NEPHOROLOG,951N    ,HEMODIA(BICARB) WITH ERYTHROPOLETIN4000UTS+IV      ,3500              
DEPARTMENT OF NEPHOROLOG,951O    ,HEMODIA(BICARB) WITH ERYTHROPOLETIN5000UTS+IV      ,4000              
DEPARTMENT OF NEPHOROLOG,952A    ,PERITONEAL DIALYSIS (ROUTINE)  **                  ,2000              
DEPARTMENT OF NEPHOROLOG,952B    ,PERITONEAL DIALYSIS (EMERGENCY/BED SIDE)  **        ,600              
DEPARTMENT OF NEPHOROLOG,952C    ,PERITONEAL DIALYSIS TRAY CHARGES                    ,350              
DEPARTMENT OF NEPHOROLOG,953A    ,FEMORAL ACCESS FOR DIALYSIS WITH ONE CATHETER       ,500              
DEPARTMENT OF NEPHOROLOG,953B    ,FEMORAL ACCESS FOR DIALYSIS WITH TWO CATHETER      ,1200              
DEPARTMENT OF NEPHOROLOG,954A    ,SUBCLAVIAN ACCESS FOR HAEM. DYA.(WITH CATHT&D      ,3000              
DEPARTMENT OF NEPHOROLOG,954B    ,SUBCLAVIAN ACCESS FOR HAEM. DYA.(WITH CATHT&S      ,2000              
DEPARTMENT OF NEPHOROLOG,954C    ,SUBCLAVIAN ACCESS FOR HAEM. DYA.(WITH SERV. C      ,2000              
DEPARTMENT OF NEPHOROLOG,954D    ,SUBCLAVIAN CATHETERIZATION TRAY CHARGES            ,1000              
DEPARTMENT OF NEPHOROLOG,955A    ,C.A.P.D. SERVICE CHARGES                           ,7000              
DEPARTMENT OF NEPHOROLOG,955B    ,CAPD CATHETER IMPLANTATION SURGERY CHARGES         ,5000              
DEPARTMENT OF NEPHOROLOG,955C    ,CAPD CATHETER REMOVAL SURGERY CHARGES              ,3500              
DEPARTMENT OF NEPHOROLOG,955D    ,CAPD DRESSING CHARGES (EACH DRESSING)                200        ,      
DEPARTMENT OF NEPHOROLOG,955E    ,A.V.FISTULA CONSTRUCTION SURGERY CHARGES           ,3000              
DEPARTMENT OF NEPHOROLOG,955F    ,A.V. FISTULA CLOSURE SURGERY CHARGES               ,3000              
DEPARTMENT OF NEPHOROLOG,955G    ,A V FISTULA TRAY CHARGES                           ,1000              
DEPARTMENT OF NEPHOROLOG,956A ,   RENAL BIOPSY                                       ,2500              
DEPARTMENT OF NEPHOROLOG,957A    ,A.V. SHUNT VASCULAR ACCESS                         ,2500              
DEPARTMENT OF NEPHOROLOG,957B    ,A.V.SHUNT KIT & TRAY     CHARGES                   ,2500              
DEPARTMENT OF NEPHOROLOG,958A    ,CONTINUOUS ARTERIO-VENOUS HAEMOFILT. SERV. CH      ,4000              
DEPARTMENT OF NEPHOROLOG,958B    ,CAVH KIT CHARGES                                   ,7000              
DEPARTMENT OF NEPHOROLOG,958C    ,CAVHD KIT CHARGES                                  ,8000              
DEPARTMENT OF NEPHOROLOG,959A    ,C.A.V.H.D. SERVICE CHARGES                         ,2500              
DEPARTMENT OF NEPHOROLOG,960A    ,HAEMOPERFUSION SERV. CHARGES (DISP. COST EXTR      ,5000              
DEPARTMENT OF NEPHOROLOG,961A    ,RENAL TRANSPLANTATION SERVICE CHARGES (NEPHRO     ,20000              
DEPARTMENT OF NEPHOROLOG,962A    ,NEPHROLOGY CONSULSATION            ,                 150              
DEPARTMENT OF NEPHOROLOG,963A    ,FEMORAL/SUBCLAVIAN REMOVAL WITH DRESSING            ,100              
DEPARTMENT OF NEPHOROLOG,963B    ,SHUNT REMOVAL                                       ,200              
DEPARTMENT OF NEPHOROLOG,963C    ,TRANSPERANT SANDWICH DRESSING                   ,    200              
DEPARTMENT OF NEPHOROLOG,964A    ,CAPD CATHETER                                      ,7053              
DEPARTMENT OF NEPHOROLOG,964B    ,TITANIUM ADAPTOR                                   ,3897              
DEPARTMENT OF NEPHOROLOG,964C    ,LOCKING CAP                                          279     ,         
DEPARTMENT OF NEPHOROLOG,964D    ,MINICAP                                              ,21              
DEPARTMENT OF NEPHOROLOG,964E    ,BLUE CLAMP                                          ,105              
DEPARTMENT OF NEPHOROLOG,964F    ,ULTRA Y-SET                                         ,127              
DEPARTMENT OF NEPHOROLOG,964G    ,EXTENDED LIFE TRANSVERSE SET                       ,2088              
DEPARTMENT OF NEPHOROLOG,964H    ,CAPD FLUID 1.5%                                     ,228              
DEPARTMENT OF NEPHOROLOG,964I    ,CAPD FLUID 2.5%                                     ,228              
DEPARTMENT OF NEPHOROLOG,964J    ,CAPD FLUID 4.25%                                    ,228              
DEPARTMENT OF NEPHOROLOG,964K    ,Easi "Y" set                                         ,56              
DEPARTMENT OF NEPHOROLOG,965     ,AMBULATORY BLOOD PRESSURE MONITORING                ,750              
DEPARTMENT OF NEPHOROLOG,966A    ,MARS PROCEDURE CHARGES(EACH SESSION 8-12 HRS)     ,10000              
DEPARTMENT OF NEPHOROLOG,966B    ,MARS KIT CHARGES                                 ,110000              
DEPARTMENT OF NEPHOROLOG,966C    ,PLAMAPHERESIS PROCEDURE CHARGES                    ,2500              
DEPARTMENT OF NEPHOROLOG,966D    ,PLASMAPHARESIS KIT CHARGES    ,                    12000              
DEPARTMENT OF NEPHOROLOG,966E    ,LIPIDAPHARESIS PROCEDURE CHARGES(EACH SESSION     ,10000              
DEPARTMENT OF NEPHOROLOG,966F    ,LIPIDAPHARESIS KIT CHARGES                        ,20000              
DEPARTMENT OF NEPHOROLOG,966G    ,CONTINUOUS CYCLER PERITONEAL DIALYSIS (CCPD)        ,500              
DEPARTMENT OF NEURO SURGER,CODE    ,DESCRIPTION                                        ,RATE              
DEPARTMENT OF NEURO SURGER,IN10SU  ,EMNG                                                ,500              
DEPARTMENT OF NEURO SURGER,IN11SU  ,BAER                                                ,500              
DEPARTMENT OF NEURO SURGER,IN12SU  ,VEP                         ,                        500              
DEPARTMENT OF NEURO SURGER,IN13SU  ,SSEP                                                ,500              
DEPARTMENT OF NEURO SURGER,IN14SU  ,SSEP > ONE LIMB                                     ,750              
DEPARTMENT OF NEURO SURGER,IN1SU   ,MICROPSCOPE                              ,          1500              
DEPARTMENT OF NEURO SURGER,IN2ASU  ,C - ARM - MINOR                                     ,500              
DEPARTMENT OF NEURO SURGER,IN2SU   ,C - ARM - MINOR                                     ,500              
DEPARTMENT OF NEURO SURGER,IN3SU   ,C - ARM - MAJOR                                    ,1500              
DEPARTMENT OF NEURO SURGER,IN4SU   ,ELECTROPHYSIOLOGICAL MONITORING                    ,2000              
DEPARTMENT OF NEURO SURGER,IN5SU   ,ELECTRO STIMULATION FOR PERIPHERAL MINOR            ,500              
